dataset,objects,features,labels,ch_btw,ch,db,dunn,ii,sil,xb,knn,nb,rf,lr,lda,mlp,agglo_average_ami,agglo_average_nmi,agglo_average_vm,agglo_average_arand,agglo_complete_ami,agglo_complete_nmi,agglo_complete_vm,agglo_complete_arand,agglo_single_ami,agglo_single_nmi,agglo_single_vm,agglo_single_arand,birch_ami,birch_nmi,birch_vm,birch_arand,dbscan_ami,dbscan_nmi,dbscan_vm,dbscan_arand,hdbscan_ami,hdbscan_nmi,hdbscan_vm,hdbscan_arand,kmeans_ami,kmeans_nmi,kmeans_vm,kmeans_arand,xmeans_ami,xmeans_nmi,xmeans_vm,xmeans_arand,kmedoid_ami,kmedoid_nmi,kmedoid_vm,kmedoid_arand,ensemble_classifiers
ecoli,336,7,8,0.704538204123624,81.17586891377672,1.5753319569903166,0.0759820280213078,0.029481318741462897,0.23824073141143282,1.3754916418748826,0.8570676031606673,0.865891132572432,0.8690079016681299,0.8719929762949956,0.8569798068481124,0.800395083406497,0.7073963528876512,0.7209628788428488,0.7193088191325678,0.7448672490337441,0.666398104506664,0.6808321897988332,0.679068370938904,0.6921566208662709,0.12656356260589505,0.24455763669917321,0.21438804288110802,0.06297317284872392,0.6546448720448185,0.6628867658439633,0.6525425380367972,0.6845284495492424,0.48150936658965476,0.4964866569317959,0.5539282152341414,0.4930286615412308,0.4169552155023818,0.4169552155023818,0.4169552155023818,0.41281536490974446,0.6140229479085028,0.6309501880463552,0.6534897578735012,0.694865254976147,0.560033707409499,0.6457902888337134,0.5206841952755863,0.5400122748800957,0.5924394025760514,0.6041770507644776,0.6041547642258424,0.6767697357152564,0.8719929762949956
orbit_classification_for_prediction_nasa,1748,11,6,-0.06302457123482348,0.736500193824994,21.495491828504367,0.03816136303551919,0.0030187745708387796,-0.03630415651113841,327.64407848788574,0.8466819484240687,0.8449660253786329,0.9965648792468276,0.8449660253786329,0.913622595169873,0.8713237822349569,0.001290376897223731,0.020304658011207472,0.015304652946028596,0.0018315587601942245,0.0015340297470365434,0.020611390055608397,0.01555975588302472,0.00497702748809928,-0.0008139940428374903,0.013420122270916985,0.008801854350093452,-0.000999499827052199,0.00036734989864954816,0.0042630007283054,0.00504747521593309,0.006214098016372463,0.012686346829944437,0.06681349620198988,0.05235394046473605,0.014140497673933087,0.009361138547666455,0.009131668672177842,0.009706789854037732,0.008889628282106165,0.0027329097638919978,0.023926727143914858,0.017962469299747114,0.00015550710502630014,0.0035860016571860583,0.04625377560450749,0.031726941971278594,0.0005697902194649068,0.0036930364196955377,0.023412857259657846,0.017685739102264616,0.001294513685415009,0.9965648792468276
skillcraft1_master_table_dataset,3338,18,7,0.03363633796624228,0.7662063387154114,6.217567371269853,7.87862885648866e-06,5.7282927892954426e-08,-0.30507491702605183,58790.61767805054,0.3840531829893436,0.3684928493836914,0.40562263778290497,0.24266040632378422,0.39483746150876653,0.24206160392857465,0.07874779814152182,0.08597912446473122,0.08558182238999873,0.036532612517943715,0.08220473637801458,0.08989786786079473,0.08986612448091603,0.0304653249605361,0.009066807172471538,0.043416187851830025,0.022244037149670156,0.000665629157654377,0.0,0.0062068988315452656,0.0004923170622242749,0.0,0.0,0.0062068988315452656,0.0005938103443087982,0.0,0.02090801520236252,0.02090801520236252,0.02090801520236252,0.009104206536795782,0.0722313389244715,0.08653961860440938,0.07901060538873826,0.04154104783398281,0.10457229136767313,0.11989150687425347,0.12090302049015292,0.036141759969549124,0.10750210529494723,0.11710110210501475,0.11490918697306411,0.05298819172312509,0.40562263778290497
breast_cancer_coimbra,116,9,2,0.07686148071649293,1.0369059682669155,7.976503305025995,0.005650111168867876,0.0003778664195906683,-0.01837287547084334,27.191478116794272,0.561231884057971,0.5521739130434782,0.7166666666666667,0.6036231884057971,0.6463768115942029,0.5858695652173913,0.03810210617209809,0.06540137589242737,0.05014772007223832,-0.006157229167788182,0.017322162158654154,0.03779077391904421,0.03602988468205677,0.0022345963162942067,0.05145000033575976,0.0895184600897782,0.08151903355772346,0.0002152767859175862,0.0293297766169394,0.032315811865969775,0.03099745273433511,0.0013932107973836792,0.03810210617209809,0.3645912828774493,0.24617636675962257,0.010316724894386783,0.0020183137561091387,0.03810210617209809,0.03810210617209809,0.0039736347046864925,0.014711421190215035,0.028683687493755005,0.03047487722646376,-0.0037464052266448513,-0.003213437971079827,0.034888030009160374,0.035692232400780725,-0.004641509670035628,0.00017132962348884913,0.017147382118229755,0.015744343753754605,0.0003555973811510041,0.7166666666666667
breast_tissue,106,9,6,0.42649605861321566,6.7256374291450625,3.6991878681518675,0.00898608675347655,0.0013584120128218122,-0.19374074161535115,6396.837171677377,0.5852813852813853,0.6415584415584416,0.6887445887445887,0.4147186147186147,0.6783549783549783,0.593939393939394,0.2850784886842392,0.4335317260255989,0.4329053572256214,0.1617317294372079,0.290261071793416,0.4346168647791468,0.4340458788218732,0.16258234996018248,0.2422050844128628,0.38549766155225546,0.3851296016236588,0.1074476150533125,0.0865299858515835,0.18131560569188213,0.12685290867980598,0.00501900815855794,0.1035190709057852,0.19070694846970726,0.18859275972144462,0.007850582927115443,0.3736821786940767,0.3736821786940767,0.32613515435682255,0.32613515435682255,0.3208841896312918,0.4590681836352461,0.4552897382809367,0.1841852146136054,0.29583907476814864,0.41617020274439015,0.4166630298405489,0.1536485671351821,0.36242247003196826,0.47484610884699674,0.47162531679545355,0.23065538269407065,0.6887445887445887
glass_identification,214,9,6,0.46459679428141337,19.702066747613255,3.736323726892524,0.01669093089545648,0.00010845936130274838,-0.0914414288348677,48.77929659518024,0.640531561461794,0.48139534883720936,0.7104097452934662,0.4395348837209303,0.607530454042082,0.5517165005537099,0.4431596561660919,0.5045274495972085,0.5025142941151814,0.29659804529324485,0.36699910582687845,0.43259110275364965,0.4322121231889141,0.2403064520588681,0.3174776685279393,0.4109857222851067,0.39483174621074935,0.19065710061249275,0.14665202592279908,0.19986937054331108,0.16875557203099867,0.0,0.44683649511474766,0.4883727938907364,0.4344248749998562,0.2855748430726042,0.39014399909758235,0.39014399909758235,0.39014399909758235,0.39014399909758235,0.37063118201495576,0.40957233040707736,0.40840289913909694,0.22245887923847593,0.3227940284901203,0.3869482260334016,0.3622836379894924,0.22721766569469085,0.32222756914142814,0.35710928169365014,0.3365394575686016,0.23088641534795648,0.7104097452934662
breast_cancer_wisconsin_original,683,9,2,0.9445888192371094,912.2008733349974,0.7960116817197849,0.11354005629317374,1.2898018012356978,0.5715237293475506,0.16982283705550824,0.9678617432374409,0.9692893945899528,0.9619901245169601,0.9649098325461573,0.9575998282524688,0.9561507084585659,0.6765879088163662,0.6770760479777492,0.6769614672995417,0.7817305098400614,0.6201710919395109,0.6349599554147578,0.6212026516462289,0.7539289189887606,0.008636268610977863,0.040976005289400916,0.02202833952707462,0.012608445285407523,0.7172904000922989,0.7174634366195645,0.6944571455499191,0.8594890759811677,0.7515816218377368,0.7519554672794122,0.74641105091775,0.8470296366609593,0.6813962428548574,0.6813962428548574,0.6813962428548574,0.680964914349614,0.7475405677426026,0.7478452752196444,0.7478287711382022,0.8464675664733539,0.6381514477327084,0.7259427147988925,0.7328146461160719,0.6517968857476425,0.7409149494979187,0.7412313789192385,0.7412109484638824,0.8409964902047339,0.9692893945899528
hiva,3076,1617,2,0.08518218122436522,6.406082722495336,8.283043531952519,0.04120428217151646,1.641958183962375,0.0580072394817262,16.256472381442798,0.967166613873931,0.9567595818815331,0.9691167775314117,0.9684658430999896,0.9453864428254672,0.965215922289093,-0.0005744013146739856,0.0024540702509235116,0.001961980944986827,-0.0012318023240755272,0.016749583539539422,0.024707455698383948,0.018399428064080854,0.0610762933733273,-0.000488938387404171,0.0012306426879112851,0.0006973598186274048,-0.000621382743416641,0.005810582322938948,0.008074215947115522,0.005216210748030205,0.007895928167774537,8.53348435020049e-05,0.13764999566445815,0.03719037714941786,3.382118538737375e-07,0.007835978390584548,0.009286123542842908,0.007490043747416296,0.0046320916029183885,0.009960209318552214,0.019645432453683626,0.01085692533647472,0.007895562111168958,0.008778264063341519,0.02229847047036466,0.010276114351623171,0.004222727591208087,0.0007253183970452609,0.0029552066304094904,0.001142404144899806,-0.0013174300546738545,0.9691167775314117
wireless_indoor_localization,2000,7,4,0.9749258884855592,1750.5520784785053,0.9260022724737993,0.17616606585441386,0.04331771627550951,0.3900200260985158,0.27926265987123944,0.9795,0.9814999999999999,0.9785,0.9800000000000001,0.9705,0.9804999999999999,0.8773897957198178,0.8781321157355974,0.8776476159423032,0.8930460819103073,0.8770282810837704,0.8778049080367335,0.8772864571929715,0.8850142101329441,0.034074645705245474,0.07706947173866399,0.04383770940589707,0.0016337413741199553,0.7682420823177585,0.8015877980967993,0.7962425243057448,0.6890978647480478,0.6024930190441273,0.5826518600347923,0.603771702990715,0.4275005372362474,0.5919996679818217,0.5919996679818217,0.6291444128865336,0.5919996679818217,0.887153045701267,0.8873387130154684,0.887336953628026,0.8868188434710614,0.7916599414006505,0.8327756303640959,0.7916952157064275,0.8197648680039876,0.9175046608538638,0.9176388843217748,0.9176388630520712,0.9382588658208512,0.9814999999999999
pima_indians_diabetes_database,768,8,2,0.2989719483221971,24.29910805622087,4.427473994795733,0.00492828380414043,0.0007518071849907349,0.10426011347558613,7.161777026307479,0.7552584670231729,0.7513368983957219,0.7748068924539513,0.7617774382480265,0.7682964094728801,0.7396146337322808,0.0190418893922639,0.02572469118347786,0.0248451212932263,0.04849293448494472,0.03578060607812738,0.04089156544742112,0.039765204381476536,0.08722039240891472,0.002967291195722421,0.02919150463538823,0.01503452694802548,0.00431365558264059,0.03524020513319081,0.037273332459674374,0.031474705101414716,0.08973566403092109,0.03964689199746206,0.057554387765850056,0.05996871508710909,0.07195247072767616,0.04217299951913878,0.04217299951913878,0.039108241275838465,0.015549540696985335,0.06489890054502986,0.07448115128797889,0.06767344941230272,0.07438695547529088,0.07147286759144234,0.09098667282787344,0.0733295374138869,0.05685111250054174,0.06619890758909437,0.07535886281643087,0.06838980379258278,0.04914236082165225,0.7748068924539513
